m,ef_construct,parallel_search,ef_search,dataset,dataset_size,qdrant_total_time,milvus_total_time,qdrant_mean_time,milvus_mean_time,qdrant_mean_precisions,milvus_mean_precisions,qdrant_std_time,milvus_std_time,qdrant_min_time,milvus_min_time,qdrant_max_time,milvus_max_time,qdrant_rps,milvus_rps,qdrant_p95_time,milvus_p95_time,qdrant_p99_time,milvus_p99_time
32,128,100,256,random-match-keyword-100-angular-no-filters,0,34.183423599999514,36.59203350000007,0.026899591910018717,0.028823787210003594,0.9435600000000001,0.8932,0.0018930375140440918,0.008497095940549182,0.009517299997241935,0.012382599999909871,0.06579199999760021,0.10110450000047422,292.53945178270976,273.283527683696,0.029302869998355158,0.04447343999963777,0.03443560700230591,0.056959845000192216
32,128,100,512,h-and-m-2048-angular-filters,0,39.79953479999676,27.80854179999733,0.02342939181998445,0.011338848060009331,0.999976,0.9987280000000001,0.01060288239456669,0.009488954553186253,0.0028660000025411136,0.0029211000000941567,0.1311887999981991,0.10838099999818951,251.25921823590795,359.6017393476187,0.04340923999698133,0.02611395999665546,0.05326172200242583,0.051565153995107
32,128,100,512,h-and-m-2048-angular-no-filters,0,59.483922500003246,24.725372299995797,0.04653584425999434,0.010391756769999483,0.9997099999999999,0.9995799999999999,0.006185439399947872,0.002236047681934474,0.022292699999525212,0.005063500000687782,0.0921712999988813,0.04811849999532569,168.11265262473998,404.4428483692316,0.05675300999209866,0.014325325003665053,0.06363783900305862,0.016703595002691154
32,128,100,512,random-match-keyword-100-angular-filters,0,6.31567510000059,14.972388200000069,0.004721862849995341,0.011544675139999617,1.0,0.5789886666666667,0.0013775066116870956,0.00560348919219834,0.0020368999994389014,0.004236900000023525,0.03419450000001234,0.08493810000004487,1583.3620066996584,667.8961209408099,0.006880644999910145,0.019764320000035685,0.007737211001422111,0.02925025799990181
32,128,100,512,random-match-keyword-100-angular-no-filters,0,56.54748749999999,53.135878899999625,0.044783030689990844,0.042026905889999855,0.9804299999999999,0.9466700000000001,0.002379958497560076,0.011870450759157753,0.024581000001489883,0.01794179999978951,0.08563389999835636,0.11575919999995676,176.84251665469668,188.19675531893895,0.04806706500021391,0.06391223000014176,0.0553800980021697,0.08116411200052431
32,128,100,64,h-and-m-2048-angular-filters,0,31.85056970000005,,0.015036711510055466,,0.999864,,0.004261454272275906,,0.002602400003524963,,0.04245280000031926,,313.9661266404282,,0.021683210000628606,,0.02517372700407578,
32,128,100,64,h-and-m-2048-angular-no-filters,0,23.90338509999856,,0.006050076999957674,,0.9986200000000001,,0.0012477715936220822,,0.0037283999990904704,,0.045261700011906214,,418.3507883157772,,0.007406459993217139,,0.009086048991011923,
32,128,100,64,random-match-keyword-100-angular-filters,0,6.307191900001271,,0.004712333589984519,,1.0,,0.0016090643667464484,,0.0020879000003333203,,0.04702250000082131,,1585.4916353501126,,0.00685611500075538,,0.007716024001110784,
32,128,100,64,random-match-keyword-100-angular-no-filters,0,13.31154349999997,,0.010202418609990854,,0.74812,,0.0022254894159407248,,0.005183399996894877,,0.0698329000006197,,751.2276844529729,,0.012873835001300902,,0.016149562001410236,
32,256,1,128,h-and-m-2048-angular-filters,0,77.07408700000087,63.44901530000061,0.006781621389970678,0.0052254907700058535,0.9999680000000001,0.9982040000000001,0.002266858918484685,0.002574344242619735,0.0017679000011412427,0.0022393999970518053,0.01691910000226926,0.06594279999990249,129.74529299321946,157.6068588727161,0.011090134993719402,0.009002055003657,0.013251628001235078,0.013199485000586752
32,256,1,128,h-and-m-2048-angular-no-filters,0,58.52972219999356,105.23154359999899,0.004846764009963954,0.00886006838998219,0.9997300000000001,0.9994800000000001,0.0006761152033746907,0.004464597637475915,0.0031416999991051853,0.0037273999987519346,0.00997119999374263,0.0554788000008557,170.85336516429084,95.02854047272662,0.005901149997225729,0.01662389500161225,0.006387329003482592,0.01932372199778911
32,256,1,128,random-match-keyword-100-angular-filters,0,20.77970060000007,30.249623100000008,0.0019762696100078755,0.0028865704300042126,1.0,0.6940029999999999,0.0004313889855129674,0.0010364990503637672,0.0010865999993256992,0.0017600000001039007,0.007857000000512926,0.05547640000031606,481.2388875323818,330.58263129235473,0.0025482200000624287,0.003331299999899784,0.0028375070001675344,0.003720425000019532
32,256,1,128,random-match-keyword-100-angular-no-filters,0,41.55164470000091,54.650866199999655,0.004030140590027804,0.00527895604000123,0.89802,0.8062699999999999,0.0002569995301693495,0.00177547295686749,0.0035286999991512857,0.004160999999839987,0.008684000000357628,0.05591409999942698,240.66436051326224,182.97971643128437,0.004416009999840753,0.00880432000062683,0.004984114999970189,0.012449826000001857
32,256,1,256,h-and-m-2048-angular-filters,0,82.0866817999995,63.11325409999699,0.007258946319983079,0.005258867280017148,0.99998,0.998876,0.0028969123492437483,0.0030668689730052137,0.0017206999982590787,0.00216569999611238,0.022057700000004843,0.04961069999990286,121.8224416034327,158.44532408606193,0.01324340499631944,0.00987650000024587,0.016137609002544198,0.016765697000300877
32,256,1,256,h-and-m-2048-angular-no-filters,0,71.7735304000089,85.63819169999624,0.006136374019992946,0.007313364699931117,0.99976,0.99961,0.0010538721162491834,0.004494589138627375,0.0034639000077731907,0.003296599999885075,0.01359819999197498,0.05549099999916507,139.32712999162655,116.77033110450928,0.0077260099962586535,0.017890045002786764,0.008505706996074877,0.02304071900005512
32,256,1,256,random-match-keyword-100-angular-filters,0,21.135526500000196,34.47934290000012,0.002006181529994865,0.003293982929999265,1.0,0.6940029999999999,0.00042933231761398664,0.0011350622843632262,0.0011656000006041722,0.0018801000001076318,0.006561199999850942,0.05194270000038159,473.13701884833137,290.0287290567816,0.002568424999299168,0.004884619999961614,0.002842301998534822,0.006103877000041397
32,256,1,256,random-match-keyword-100-angular-no-filters,0,56.29664260000209,135.87250799999947,0.0054959479799912515,0.013192304880002849,0.96242,0.9026700000000001,0.0003106577309229501,0.0016273395118250064,0.004913199998554774,0.008249500000601984,0.00898600000073202,0.04283700000087265,177.63048626277455,73.59840594095782,0.005971900001895847,0.016231739999511774,0.006780596997632537,0.018923418999056595
32,256,1,512,h-and-m-2048-angular-filters,0,85.41115529999661,71.17653799999971,0.007619232309999643,0.006084235969985457,0.99998,0.9994120000000001,0.0037088038222084273,0.005420225157757841,0.0016866999940248206,0.0019672999987960793,0.023575299994263332,0.06561130000045523,117.08072516846516,140.49573470404027,0.015652565003983904,0.014472459995522506,0.019225933003181126,0.031142715999158157
32,256,1,512,h-and-m-2048-angular-no-filters,0,92.20673829999578,140.0716886999944,0.008151645639922935,0.012147957260011754,0.99977,0.9997299999999999,0.001580870489231553,0.0059314033823506095,0.0043043999903602526,0.00401399999827845,0.015426800004206598,0.07936200000403915,108.45194379899736,71.39201428075879,0.010593730003893142,0.02154485499486327,0.01165294199352502,0.024507864993502153
